time,bus,pd
2023-10-27 18:00:00,5,66.2
2023-10-27 19:00:00,5,64.7
2023-10-27 20:00:00,5,60.0
2023-10-27 21:00:00,5,52.300000000000004
2023-10-27 22:00:00,5,38.6
2023-10-27 23:00:00,5,25.7
2023-10-28 00:00:00,5,21.9
2023-10-28 01:00:00,5,17.1
2023-10-28 02:00:00,5,16.7
2023-10-28 03:00:00,5,17.0
2023-10-28 04:00:00,5,20.3
2023-10-28 05:00:00,5,35.9
2023-10-28 06:00:00,5,50.1
2023-10-28 07:00:00,5,53.2
2023-10-28 08:00:00,5,52.6
2023-10-28 09:00:00,5,51.0
2023-10-28 10:00:00,5,51.5
2023-10-28 11:00:00,5,57.8
2023-10-28 12:00:00,5,56.3
2023-10-28 13:00:00,5,49.0
2023-10-28 14:00:00,5,43.8
2023-10-28 15:00:00,5,41.0
2023-10-28 16:00:00,5,45.0
2023-10-28 17:00:00,5,56.00000000000001
2023-10-28 18:00:00,5,66.5
2023-10-28 19:00:00,5,65.0
2023-10-28 20:00:00,5,60.3
2023-10-28 21:00:00,5,52.5
2023-10-28 22:00:00,5,38.800000000000004
2023-10-28 23:00:00,5,28.4
2023-10-22 00:00:00,6,19.6
2023-10-22 01:00:00,6,19.5
2023-10-22 02:00:00,6,17.7
2023-10-22 03:00:00,6,17.299999999999997
2023-10-22 04:00:00,6,17.299999999999997
2023-10-22 05:00:00,6,18.3
2023-10-22 06:00:00,6,26.200000000000003
2023-10-22 07:00:00,6,44.5
2023-10-22 08:00:00,6,63.800000000000004
2023-10-22 09:00:00,6,74.0
2023-10-22 10:00:00,6,82.1
2023-10-22 11:00:00,6,83.1
2023-10-22 12:00:00,6,67.4
2023-10-22 13:00:00,6,54.50000000000001
2023-10-22 14:00:00,6,48.4
2023-10-22 15:00:00,6,42.9
2023-10-22 16:00:00,6,44.7
2023-10-22 17:00:00,6,55.00000000000001
2023-10-22 18:00:00,6,64.4
2023-10-22 19:00:00,6,61.9
2023-10-22 20:00:00,6,57.599999999999994
2023-10-22 21:00:00,6,51.0
2023-10-22 22:00:00,6,37.6
2023-10-22 23:00:00,6,26.5
2023-10-23 00:00:00,6,19.5
2023-10-23 01:00:00,6,17.599999999999998
2023-10-23 02:00:00,6,17.2
2023-10-23 03:00:00,6,17.599999999999998
2023-10-23 04:00:00,6,21.0
2023-10-23 05:00:00,6,37.0
2023-10-23 06:00:00,6,51.7
2023-10-23 07:00:00,6,54.800000000000004
2023-10-23 08:00:00,6,54.2
2023-10-23 09:00:00,6,52.6
2023-10-23 10:00:00,6,53.1
2023-10-23 11:00:00,6,59.599999999999994
2023-10-23 12:00:00,6,57.99999999999999
2023-10-23 13:00:00,6,50.5
2023-10-23 14:00:00,6,45.2
2023-10-23 15:00:00,6,42.3
2023-10-23 16:00:00,6,46.400000000000006
2023-10-23 17:00:00,6,57.699999999999996
2023-10-23 18:00:00,6,68.5
2023-10-23 19:00:00,6,67.0
2023-10-23 20:00:00,6,62.1
2023-10-23 21:00:00,6,54.1
2023-10-23 22:00:00,6,39.900000000000006
2023-10-23 23:00:00,6,26.400000000000002
2023-10-24 00:00:00,6,19.5
2023-10-24 01:00:00,6,17.599999999999998
2023-10-24 02:00:00,6,17.1
2023-10-24 03:00:00,6,17.5
2023-10-24 04:00:00,6,20.9
2023-10-24 05:00:00,6,36.9
2023-10-24 06:00:00,6,51.5
2023-10-24 07:00:00,6,54.6
2023-10-24 08:00:00,6,54.0
2023-10-24 09:00:00,6,52.400000000000006
2023-10-24 10:00:00,6,52.900000000000006
2023-10-24 11:00:00,6,59.4
2023-10-24 12:00:00,6,57.8
2023-10-24 13:00:00,6,50.3
2023-10-24 14:00:00,6,45.0
2023-10-24 15:00:00,6,42.1
2023-10-24 16:00:00,6,46.2
2023-10-24 17:00:00,6,57.49999999999999
2023-10-24 18:00:00,6,68.30000000000001
2023-10-24 19:00:00,6,66.7
2023-10-24 20:00:00,6,61.9
2023-10-24 21:00:00,6,53.900000000000006
2023-10-24 22:00:00,6,39.800000000000004
2023-10-24 23:00:00,6,26.3
2023-10-25 00:00:00,6,19.400000000000002
2023-10-25 01:00:00,6,17.5
2023-10-25 02:00:00,6,17.1
2023-10-25 03:00:00,6,17.4
2023-10-25 04:00:00,6,20.8
2023-10-25 05:00:00,6,36.8
2023-10-25 06:00:00,6,51.300000000000004
2023-10-25 07:00:00,6,54.400000000000006
2023-10-25 08:00:00,6,53.800000000000004
2023-10-25 09:00:00,6,52.2
2023-10-25 10:00:00,6,52.7
2023-10-25 11:00:00,6,59.199999999999996
2023-10-25 12:00:00,6,57.599999999999994
2023-10-25 13:00:00,6,50.1
2023-10-25 14:00:00,6,44.9
2023-10-25 15:00:00,6,42.0
2023-10-25 16:00:00,6,46.0
2023-10-25 17:00:00,6,57.3
2023-10-25 18:00:00,6,68.0
2023-10-25 19:00:00,6,66.5
2023-10-25 20:00:00,6,61.7
2023-10-25 21:00:00,6,53.7
