time,id,type,pmax,pmin,gencost,emax,einitial,eta,season
2023-10-22 10:00:00,3,wind,3.6733,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 10:00:00,4,solar,78.0928,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 10:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 10:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 11:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 11:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 11:00:00,3,wind,3.4731,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 11:00:00,4,solar,78.8757,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 11:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 11:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 12:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 12:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 12:00:00,3,wind,3.5739,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 12:00:00,4,solar,71.2139,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 12:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 12:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 13:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 13:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 13:00:00,3,wind,3.2714,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 13:00:00,4,solar,39.3622,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 13:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 13:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 14:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 14:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 14:00:00,3,wind,2.5599,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 14:00:00,4,solar,15.0639,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 14:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 14:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 15:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 15:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 15:00:00,3,wind,1.502399999999999,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 15:00:00,4,solar,5.6259,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 15:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 15:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 16:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 16:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 16:00:00,3,wind,0.8956999999999999,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 16:00:00,4,solar,0.7546999999999999,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 16:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 16:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 17:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 17:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 17:00:00,3,wind,0.629499999999999,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 17:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 17:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 17:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 18:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 18:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 18:00:00,3,wind,0.7391000000000001,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 18:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 18:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 18:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 19:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 19:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 19:00:00,3,wind,1.1635999999999989,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 19:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 19:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 19:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 20:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 20:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 20:00:00,3,wind,1.7738,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 20:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 20:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 20:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 21:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 21:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 21:00:00,3,wind,2.3769,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 21:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 21:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 21:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 22:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 22:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 22:00:00,3,wind,2.3843,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 22:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 22:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 22:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-22 23:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-22 23:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-22 23:00:00,3,wind,2.4652,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 23:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-22 23:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-22 23:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 00:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 00:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 00:00:00,3,wind,2.8169,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 00:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 00:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 00:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 01:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 01:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 01:00:00,3,wind,3.1165,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 01:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 01:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 01:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 02:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 02:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 02:00:00,3,wind,3.5210999999999997,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 02:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 02:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 02:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 03:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 03:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 03:00:00,3,wind,4.351999999999999,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 03:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 03:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 03:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 04:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 04:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 04:00:00,3,wind,5.3665,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 04:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 04:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 04:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 05:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 05:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 05:00:00,3,wind,6.936299999999999,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 05:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 05:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 05:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 06:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 06:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 06:00:00,3,wind,8.407399999999999,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 06:00:00,4,solar,0.5144,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 06:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 06:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 07:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 07:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 07:00:00,3,wind,10.1094,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 07:00:00,4,solar,7.5702,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 07:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 07:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 08:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 08:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 08:00:00,3,wind,14.106000000000002,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 08:00:00,4,solar,14.2206,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 08:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 08:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 09:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 09:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 09:00:00,3,wind,19.8739,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 09:00:00,4,solar,35.021699999999996,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 09:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 09:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 10:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 10:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 10:00:00,3,wind,26.675099999999997,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 10:00:00,4,solar,55.1444,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 10:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 10:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 11:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 11:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 11:00:00,3,wind,29.065599999999996,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 11:00:00,4,solar,55.4399,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 11:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 11:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 12:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 12:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 12:00:00,3,wind,29.1356,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 12:00:00,4,solar,57.364,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 12:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 12:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 13:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 13:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 13:00:00,3,wind,27.00040000000001,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 13:00:00,4,solar,44.0747,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 13:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 13:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 14:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 14:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 14:00:00,3,wind,23.4579,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 14:00:00,4,solar,25.6865,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 14:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 14:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 15:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 15:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 15:00:00,3,wind,20.5345,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 15:00:00,4,solar,10.4352,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 15:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 15:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 16:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 16:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 16:00:00,3,wind,19.534,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 16:00:00,4,solar,0.6349,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 16:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 16:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 17:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 17:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 17:00:00,3,wind,21.977900000000005,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 17:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 17:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 17:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 18:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 18:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 18:00:00,3,wind,27.700999999999997,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 18:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 18:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 18:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 19:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 19:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 19:00:00,3,wind,28.6899,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 19:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 19:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 19:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 20:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 20:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 20:00:00,3,wind,23.068199999999997,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 20:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 20:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
2023-10-23 20:00:00,102,battery2,50.0,-50.0,0.0,200.0,0.0,0.95,autumn_spring
2023-10-23 21:00:00,1,nuclear,800.0,0.0,3.0,0.0,0.0,1.0,autumn_spring
2023-10-23 21:00:00,2,gas,250.0,0.0,8.0,0.0,0.0,1.0,autumn_spring
2023-10-23 21:00:00,3,wind,15.8523,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 21:00:00,4,solar,0.0,0.0,0.0,0.0,0.0,1.0,autumn_spring
2023-10-23 21:00:00,101,battery1,40.0,-40.0,0.0,100.0,0.0,0.99,autumn_spring
