"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Switzerland (CH)","01.01.2024 00:00 - 01.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","44","","218","255","n/e","3023","n/e","n/e","0","n/e","n/e","43"
"Switzerland (CH)","01.01.2024 01:00 - 01.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","76","","221","268","n/e","3022","n/e","n/e","0","n/e","n/e","38"
"Switzerland (CH)","01.01.2024 02:00 - 01.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","56","","218","278","n/e","3021","n/e","n/e","0","n/e","n/e","35"
"Switzerland (CH)","01.01.2024 03:00 - 01.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","48","","219","284","n/e","3020","n/e","n/e","0","n/e","n/e","44"
"Switzerland (CH)","01.01.2024 04:00 - 01.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","66","","218","301","n/e","3020","n/e","n/e","0","n/e","n/e","41"
"Switzerland (CH)","01.01.2024 05:00 - 01.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","","218","274","n/e","3019","n/e","n/e","0","n/e","n/e","43"
"Switzerland (CH)","01.01.2024 06:00 - 01.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","","218","264","n/e","3018","n/e","n/e","0","n/e","n/e","45"
"Switzerland (CH)","01.01.2024 07:00 - 01.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","","218","295","n/e","3018","n/e","n/e","0","n/e","n/e","44"
"Switzerland (CH)","01.01.2024 08:00 - 01.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","","217","267","n/e","3018","n/e","n/e","2","n/e","n/e","42"
"Switzerland (CH)","01.01.2024 09:00 - 01.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","103","","218","270","n/e","3015","n/e","n/e","108","n/e","n/e","39"
"Switzerland (CH)","01.01.2024 10:00 - 01.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","94","","218","234","n/e","3018","n/e","n/e","454","n/e","n/e","34"
"Switzerland (CH)","01.01.2024 11:00 - 01.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","66","","217","255","n/e","3016","n/e","n/e","489","n/e","n/e","30"
"Switzerland (CH)","01.01.2024 12:00 - 01.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","","216","248","n/e","3015","n/e","n/e","450","n/e","n/e","24"
"Switzerland (CH)","01.01.2024 13:00 - 01.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","118","","221","283","n/e","3014","n/e","n/e","438","n/e","n/e","21"
"Switzerland (CH)","01.01.2024 14:00 - 01.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","143","","217","257","n/e","3014","n/e","n/e","430","n/e","n/e","18"
"Switzerland (CH)","01.01.2024 15:00 - 01.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","115","","215","265","n/e","3014","n/e","n/e","321","n/e","n/e","17"
"Switzerland (CH)","01.01.2024 16:00 - 01.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","276","","217","338","n/e","3014","n/e","n/e","71","n/e","n/e","21"
"Switzerland (CH)","01.01.2024 17:00 - 01.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","473","","219","445","n/e","3014","n/e","n/e","0","n/e","n/e","26"
"Switzerland (CH)","01.01.2024 18:00 - 01.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","762","","218","453","n/e","3018","n/e","n/e","0","n/e","n/e","31"
"Switzerland (CH)","01.01.2024 19:00 - 01.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","528","","217","348","n/e","3019","n/e","n/e","0","n/e","n/e","34"
"Switzerland (CH)","01.01.2024 20:00 - 01.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","405","","220","405","n/e","3021","n/e","n/e","0","n/e","n/e","42"
"Switzerland (CH)","01.01.2024 21:00 - 01.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","247","","217","376","n/e","3022","n/e","n/e","0","n/e","n/e","39"
"Switzerland (CH)","01.01.2024 22:00 - 01.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","144","","219","389","n/e","3025","n/e","n/e","0","n/e","n/e","46"
"Switzerland (CH)","01.01.2024 23:00 - 02.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","86","","218","323","n/e","3034","n/e","n/e","0","n/e","n/e","51"
"Switzerland (CH)","02.01.2024 00:00 - 02.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","121","","210","249","n/e","3030","n/e","n/e","0","n/e","n/e","53"
"Switzerland (CH)","02.01.2024 01:00 - 02.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","154","","209","234","n/e","3024","n/e","n/e","0","n/e","n/e","51"
"Switzerland (CH)","02.01.2024 02:00 - 02.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","89","","211","225","n/e","3023","n/e","n/e","0","n/e","n/e","52"
"Switzerland (CH)","02.01.2024 03:00 - 02.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","79","","208","230","n/e","3023","n/e","n/e","0","n/e","n/e","52"
"Switzerland (CH)","02.01.2024 04:00 - 02.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","53","","212","263","n/e","3024","n/e","n/e","0","n/e","n/e","55"
"Switzerland (CH)","02.01.2024 05:00 - 02.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","91","","212","303","n/e","3018","n/e","n/e","0","n/e","n/e","58"
"Switzerland (CH)","02.01.2024 06:00 - 02.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","237","","214","308","n/e","3018","n/e","n/e","0","n/e","n/e","59"
"Switzerland (CH)","02.01.2024 07:00 - 02.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","417","","213","382","n/e","3016","n/e","n/e","0","n/e","n/e","58"
"Switzerland (CH)","02.01.2024 08:00 - 02.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","446","","260","314","n/e","3010","n/e","n/e","0","n/e","n/e","60"
"Switzerland (CH)","02.01.2024 09:00 - 02.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","420","","268","422","n/e","3008","n/e","n/e","30","n/e","n/e","58"
"Switzerland (CH)","02.01.2024 10:00 - 02.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","593","","243","426","n/e","3011","n/e","n/e","113","n/e","n/e","57"
"Switzerland (CH)","02.01.2024 11:00 - 02.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","714","","216","403","n/e","3010","n/e","n/e","213","n/e","n/e","57"
"Switzerland (CH)","02.01.2024 12:00 - 02.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","781","","215","424","n/e","3010","n/e","n/e","302","n/e","n/e","55"
"Switzerland (CH)","02.01.2024 13:00 - 02.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","862","","216","358","n/e","3008","n/e","n/e","174","n/e","n/e","58"
"Switzerland (CH)","02.01.2024 14:00 - 02.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","940","","218","533","n/e","3007","n/e","n/e","108","n/e","n/e","55"
"Switzerland (CH)","02.01.2024 15:00 - 02.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1002","","220","663","n/e","3006","n/e","n/e","60","n/e","n/e","52"
"Switzerland (CH)","02.01.2024 16:00 - 02.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1169","","249","800","n/e","3007","n/e","n/e","4","n/e","n/e","53"
"Switzerland (CH)","02.01.2024 17:00 - 02.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1279","","265","863","n/e","3006","n/e","n/e","0","n/e","n/e","55"
"Switzerland (CH)","02.01.2024 18:00 - 02.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1150","","252","814","n/e","3008","n/e","n/e","0","n/e","n/e","56"
"Switzerland (CH)","02.01.2024 19:00 - 02.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","670","","239","557","n/e","3009","n/e","n/e","0","n/e","n/e","58"
"Switzerland (CH)","02.01.2024 20:00 - 02.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","266","","222","359","n/e","3008","n/e","n/e","0","n/e","n/e","55"
"Switzerland (CH)","02.01.2024 21:00 - 02.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","213","","220","269","n/e","3007","n/e","n/e","0","n/e","n/e","60"
"Switzerland (CH)","02.01.2024 22:00 - 02.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","47","","220","341","n/e","3006","n/e","n/e","0","n/e","n/e","60"
"Switzerland (CH)","02.01.2024 23:00 - 03.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","42","","222","265","n/e","3008","n/e","n/e","0","n/e","n/e","56"
"Switzerland (CH)","03.01.2024 00:00 - 03.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","80","","218","245","n/e","3007","n/e","n/e","0","n/e","n/e","57"
"Switzerland (CH)","03.01.2024 01:00 - 03.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","","220","248","n/e","3009","n/e","n/e","0","n/e","n/e","51"
"Switzerland (CH)","03.01.2024 02:00 - 03.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","","221","254","n/e","3006","n/e","n/e","0","n/e","n/e","47"
"Switzerland (CH)","03.01.2024 03:00 - 03.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","","221","235","n/e","3008","n/e","n/e","0","n/e","n/e","45"
"Switzerland (CH)","03.01.2024 04:00 - 03.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","38","","217","231","n/e","3008","n/e","n/e","0","n/e","n/e","43"
"Switzerland (CH)","03.01.2024 05:00 - 03.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","","215","219","n/e","3006","n/e","n/e","0","n/e","n/e","48"
"Switzerland (CH)","03.01.2024 06:00 - 03.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","133","","219","321","n/e","3004","n/e","n/e","0","n/e","n/e","50"
"Switzerland (CH)","03.01.2024 07:00 - 03.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","320","","219","338","n/e","3006","n/e","n/e","0","n/e","n/e","48"
"Switzerland (CH)","03.01.2024 08:00 - 03.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","454","","274","526","n/e","3006","n/e","n/e","7","n/e","n/e","47"
"Switzerland (CH)","03.01.2024 09:00 - 03.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","335","","272","438","n/e","3006","n/e","n/e","97","n/e","n/e","50"
"Switzerland (CH)","03.01.2024 10:00 - 03.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","221","","236","354","n/e","3011","n/e","n/e","220","n/e","n/e","50"
"Switzerland (CH)","03.01.2024 11:00 - 03.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","217","","228","297","n/e","3014","n/e","n/e","518","n/e","n/e","48"
"Switzerland (CH)","03.01.2024 12:00 - 03.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","100","","227","305","n/e","3009","n/e","n/e","656","n/e","n/e","47"
"Switzerland (CH)","03.01.2024 13:00 - 03.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","85","","224","310","n/e","3005","n/e","n/e","390","n/e","n/e","50"
"Switzerland (CH)","03.01.2024 14:00 - 03.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","68","","241","453","n/e","3005","n/e","n/e","385","n/e","n/e","52"
"Switzerland (CH)","03.01.2024 15:00 - 03.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","190","","247","418","n/e","3004","n/e","n/e","98","n/e","n/e","53"
"Switzerland (CH)","03.01.2024 16:00 - 03.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","615","","275","586","n/e","3003","n/e","n/e","67","n/e","n/e","58"
"Switzerland (CH)","03.01.2024 17:00 - 03.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","730","","253","750","n/e","3005","n/e","n/e","0","n/e","n/e","53"
"Switzerland (CH)","03.01.2024 18:00 - 03.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1221","","261","877","n/e","3005","n/e","n/e","0","n/e","n/e","47"
"Switzerland (CH)","03.01.2024 19:00 - 03.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","913","","238","868","n/e","3005","n/e","n/e","0","n/e","n/e","46"
"Switzerland (CH)","03.01.2024 20:00 - 03.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","472","","224","708","n/e","3007","n/e","n/e","0","n/e","n/e","49"
"Switzerland (CH)","03.01.2024 21:00 - 03.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","246","","222","473","n/e","3012","n/e","n/e","0","n/e","n/e","49"
"Switzerland (CH)","03.01.2024 22:00 - 03.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","202","","222","350","n/e","3010","n/e","n/e","0","n/e","n/e","53"
"Switzerland (CH)","03.01.2024 23:00 - 04.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","87","","222","267","n/e","3010","n/e","n/e","0","n/e","n/e","53"
"Switzerland (CH)","04.01.2024 00:00 - 04.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","72","","222","237","n/e","3012","n/e","n/e","0","n/e","n/e","49"
"Switzerland (CH)","04.01.2024 01:00 - 04.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","65","","221","229","n/e","3012","n/e","n/e","0","n/e","n/e","48"
"Switzerland (CH)","04.01.2024 02:00 - 04.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","56","","222","211","n/e","3014","n/e","n/e","0","n/e","n/e","49"
"Switzerland (CH)","04.01.2024 03:00 - 04.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","","222","205","n/e","3014","n/e","n/e","0","n/e","n/e","48"
"Switzerland (CH)","04.01.2024 04:00 - 04.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","41","","219","235","n/e","3011","n/e","n/e","0","n/e","n/e","47"
"Switzerland (CH)","04.01.2024 05:00 - 04.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","60","","219","265","n/e","3011","n/e","n/e","0","n/e","n/e","49"
"Switzerland (CH)","04.01.2024 06:00 - 04.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","149","","232","317","n/e","3011","n/e","n/e","0","n/e","n/e","52"
"Switzerland (CH)","04.01.2024 07:00 - 04.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","669","","235","589","n/e","3003","n/e","n/e","0","n/e","n/e","48"
"Switzerland (CH)","04.01.2024 08:00 - 04.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1170","","269","995","n/e","2929","n/e","n/e","4","n/e","n/e","44"
"Switzerland (CH)","04.01.2024 09:00 - 04.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","631","","261","880","n/e","2922","n/e","n/e","28","n/e","n/e","38"
"Switzerland (CH)","04.01.2024 10:00 - 04.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","825","","269","1001","n/e","2926","n/e","n/e","91","n/e","n/e","37"
"Switzerland (CH)","04.01.2024 11:00 - 04.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","554","","247","547","n/e","2925","n/e","n/e","437","n/e","n/e","41"
"Switzerland (CH)","04.01.2024 12:00 - 04.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","780","","233","548","n/e","2922","n/e","n/e","692","n/e","n/e","36"
"Switzerland (CH)","04.01.2024 13:00 - 04.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","977","","218","571","n/e","2919","n/e","n/e","878","n/e","n/e","29"
"Switzerland (CH)","04.01.2024 14:00 - 04.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1373","","228","944","n/e","2921","n/e","n/e","603","n/e","n/e","24"
"Switzerland (CH)","04.01.2024 15:00 - 04.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2017","","249","1703","n/e","2922","n/e","n/e","283","n/e","n/e","27"
"Switzerland (CH)","04.01.2024 16:00 - 04.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2456","","270","2060","n/e","2920","n/e","n/e","106","n/e","n/e","29"
"Switzerland (CH)","04.01.2024 17:00 - 04.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2930","","281","2513","n/e","2922","n/e","n/e","0","n/e","n/e","33"
"Switzerland (CH)","04.01.2024 18:00 - 04.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2770","","280","2488","n/e","2926","n/e","n/e","0","n/e","n/e","34"
"Switzerland (CH)","04.01.2024 19:00 - 04.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2777","","251","2432","n/e","2935","n/e","n/e","0","n/e","n/e","30"
"Switzerland (CH)","04.01.2024 20:00 - 04.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2499","","250","2152","n/e","2948","n/e","n/e","0","n/e","n/e","27"
"Switzerland (CH)","04.01.2024 21:00 - 04.01.2024 22:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1639","","253","1391","n/e","2952","n/e","n/e","0","n/e","n/e","24"
"Switzerland (CH)","04.01.2024 22:00 - 04.01.2024 23:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1241","","230","875","n/e","2995","n/e","n/e","0","n/e","n/e","33"
"Switzerland (CH)","04.01.2024 23:00 - 05.01.2024 00:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","652","","227","538","n/e","3020","n/e","n/e","0","n/e","n/e","45"
"Switzerland (CH)","05.01.2024 00:00 - 05.01.2024 01:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","326","","226","414","n/e","3021","n/e","n/e","0","n/e","n/e","48"
"Switzerland (CH)","05.01.2024 01:00 - 05.01.2024 02:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","116","","223","292","n/e","3023","n/e","n/e","0","n/e","n/e","48"
"Switzerland (CH)","05.01.2024 02:00 - 05.01.2024 03:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","90","","224","282","n/e","3022","n/e","n/e","0","n/e","n/e","44"
"Switzerland (CH)","05.01.2024 03:00 - 05.01.2024 04:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","92","","222","248","n/e","3022","n/e","n/e","0","n/e","n/e","36"
"Switzerland (CH)","05.01.2024 04:00 - 05.01.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","106","","215","272","n/e","3023","n/e","n/e","0","n/e","n/e","38"
"Switzerland (CH)","05.01.2024 05:00 - 05.01.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","124","","227","286","n/e","3021","n/e","n/e","0","n/e","n/e","40"
"Switzerland (CH)","05.01.2024 06:00 - 05.01.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","628","","221","422","n/e","3019","n/e","n/e","0","n/e","n/e","31"
"Switzerland (CH)","05.01.2024 07:00 - 05.01.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","719","","236","937","n/e","3019","n/e","n/e","0","n/e","n/e","19"
"Switzerland (CH)","05.01.2024 08:00 - 05.01.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","898","","264","1499","n/e","3019","n/e","n/e","1","n/e","n/e","11"
"Switzerland (CH)","05.01.2024 09:00 - 05.01.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","831","","264","1306","n/e","3018","n/e","n/e","38","n/e","n/e","9"
"Switzerland (CH)","05.01.2024 10:00 - 05.01.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","799","","259","1347","n/e","3018","n/e","n/e","69","n/e","n/e","10"
"Switzerland (CH)","05.01.2024 11:00 - 05.01.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","707","","242","1120","n/e","3016","n/e","n/e","116","n/e","n/e","9"
"Switzerland (CH)","05.01.2024 12:00 - 05.01.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","875","","235","1106","n/e","2849","n/e","n/e","130","n/e","n/e","7"
"Switzerland (CH)","05.01.2024 13:00 - 05.01.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","865","","241","997","n/e","3017","n/e","n/e","161","n/e","n/e","6"
"Switzerland (CH)","05.01.2024 14:00 - 05.01.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","889","","245","1160","n/e","3018","n/e","n/e","183","n/e","n/e","4"
"Switzerland (CH)","05.01.2024 15:00 - 05.01.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","830","","244","1466","n/e","3014","n/e","n/e","83","n/e","n/e","3"
"Switzerland (CH)","05.01.2024 16:00 - 05.01.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1869","","256","1949","n/e","3014","n/e","n/e","25","n/e","n/e","1"
"Switzerland (CH)","05.01.2024 17:00 - 05.01.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2643","","281","2523","n/e","3012","n/e","n/e","0","n/e","n/e","1"
"Switzerland (CH)","05.01.2024 18:00 - 05.01.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2705","","274","2749","n/e","3013","n/e","n/e","0","n/e","n/e","1"
"Switzerland (CH)","05.01.2024 19:00 - 05.01.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1583","","259","2137","n/e","3014","n/e","n/e","0","n/e","n/e","0"
"Switzerland (CH)","05.01.2024 20:00 - 05.01.2024 21:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","856","","228","1575","n/e","3014","n/e","n/e","0","n/e","n/e","1"
