"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Switzerland (CH)","28.03.2024 04:00 - 28.03.2024 05:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","252","","221","608","n/e","2970","n/e","n/e","0","n/e","n/e","47"
"Switzerland (CH)","28.03.2024 05:00 - 28.03.2024 06:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","535","","230","843","n/e","2968","n/e","n/e","0","n/e","n/e","53"
"Switzerland (CH)","28.03.2024 06:00 - 28.03.2024 07:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","937","","298","1755","n/e","2966","n/e","n/e","0","n/e","n/e","50"
"Switzerland (CH)","28.03.2024 07:00 - 28.03.2024 08:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1102","","307","2031","n/e","2965","n/e","n/e","9","n/e","n/e","39"
"Switzerland (CH)","28.03.2024 08:00 - 28.03.2024 09:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1276","","320","2033","n/e","2965","n/e","n/e","113","n/e","n/e","46"
"Switzerland (CH)","28.03.2024 09:00 - 28.03.2024 10:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1349","","301","1614","n/e","2944","n/e","n/e","239","n/e","n/e","45"
"Switzerland (CH)","28.03.2024 10:00 - 28.03.2024 11:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1126","","283","1658","n/e","2976","n/e","n/e","997","n/e","n/e","45"
"Switzerland (CH)","28.03.2024 11:00 - 28.03.2024 12:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","971","","271","1590","n/e","2972","n/e","n/e","963","n/e","n/e","45"
"Switzerland (CH)","28.03.2024 12:00 - 28.03.2024 13:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","957","","239","1203","n/e","2959","n/e","n/e","1721","n/e","n/e","46"
"Switzerland (CH)","28.03.2024 13:00 - 28.03.2024 14:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","592","","225","1109","n/e","2952","n/e","n/e","2739","n/e","n/e","42"
"Switzerland (CH)","28.03.2024 14:00 - 28.03.2024 15:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","466","","228","923","n/e","2954","n/e","n/e","2654","n/e","n/e","42"
"Switzerland (CH)","28.03.2024 15:00 - 28.03.2024 16:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","469","","226","1051","n/e","2952","n/e","n/e","1975","n/e","n/e","33"
"Switzerland (CH)","28.03.2024 16:00 - 28.03.2024 17:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","577","","247","1148","n/e","2953","n/e","n/e","1480","n/e","n/e","41"
"Switzerland (CH)","28.03.2024 17:00 - 28.03.2024 18:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","862","","282","1141","n/e","2951","n/e","n/e","727","n/e","n/e","35"
"Switzerland (CH)","28.03.2024 18:00 - 28.03.2024 19:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1516","","310","1618","n/e","2952","n/e","n/e","148","n/e","n/e","34"
"Switzerland (CH)","28.03.2024 19:00 - 28.03.2024 20:00 (CET/CEST)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1326","","311","1773","n/e","2953","n/e","n/e","0","n/e","n/e","46"
