Hour,P1,P2,P3,P4,V1,V2,V3,V4,E,E_next,Delta_E
0,0.0,0.23425925925925933,-0.0,-0.275,0.0,0.7129629629629631,0.4074074074074076,-0.5092592592592594,-0.0,0.0,0.0
1,0.0,0.17292592592592596,-0.0,-0.203,0.0,0.5262962962962964,0.3007407407407407,-0.375925925925926,0.0,0.0,0.0
2,0.0,0.1592962962962963,-0.0,-0.187,0.0,0.48481481481481487,0.2770370370370372,-0.3462962962962964,0.0,0.0,0.0
3,0.0,0.15503703703703706,-0.0,-0.182,0.0,0.4718518518518519,0.2696296296296297,-0.3370370370370371,0.0,0.0,0.0
4,0.0,0.15759259259259262,-0.0,-0.185,0.0,0.4796296296296297,0.274074074074074,-0.3425925925925926,0.0,0.0,0.0
5,0.0,0.18825925925925935,-0.0,-0.221,0.0,0.5729629629629631,0.3274074074074074,-0.4092592592592593,0.0,0.0,0.0
6,0.0,0.36203703703703716,-0.0,-0.425,0.0,1.101851851851852,0.6296296296296297,-0.7870370370370371,0.0,0.0,0.0
7,0.0,0.5196296296296297,-0.0,-0.61,0.0,1.5814814814814817,0.9037037037037039,-1.1296296296296298,0.0,0.0,0.0
8,0.0,0.5366666666666667,-0.0,-0.63,0.0,1.6333333333333335,0.9333333333333332,-1.1666666666666667,0.0,0.0,0.0
9,0.0,0.4949259259259261,-0.0,-0.581,0.0,1.5062962962962965,0.8607407407407407,-1.075925925925926,0.0,0.0,0.0
10,0.0,0.4668148148148149,-0.0,-0.548,0.0,1.420740740740741,0.8118518518518519,-1.014814814814815,0.0,0.0,0.0
11,0.0,0.47930312189344737,0.01108803011618038,-0.558,0.0,1.4603555927360254,0.860888981840063,-1.0483911520096278,0.0,0.01108803011618038,0.01108803011618038
12,0.0,0.5607222222222221,0.10049999999999981,-0.616,0.0,1.721111111111111,1.2227777777777775,-1.2772222222222223,0.01108803011618038,0.11147714981501838,0.100389119698838
13,0.0,0.5578055555555557,0.10424999999999995,-0.611,0.0,1.712777777777778,1.2269444444444444,-1.2730555555555556,0.11147714981501838,0.21461237831686814,0.10313522850184975
14,0.0,0.5187222222222224,0.1544999999999998,-0.544,0.0,1.6011111111111116,1.2827777777777776,-1.2172222222222224,0.21461237831686814,0.36696625453369924,0.1523538762168311
15,0.0,0.4895555555555557,0.19199999999999973,-0.494,0.0,1.5177777777777781,1.324444444444444,-1.1755555555555557,0.36696625453369924,0.5552965919883619,0.18833033745466266
16,0.0,0.49072222222222245,0.19049999999999984,-0.496,0.0,1.5211111111111115,1.3227777777777776,-1.1772222222222224,0.5552965919883619,0.7402436260684782,0.18494703408011626
17,0.0,0.5554722222222224,0.10724999999999985,-0.607,0.0,1.7061111111111116,1.2302777777777776,-1.2697222222222224,0.7402436260684782,0.8400911898077932,0.09984756373931503
18,0.0,0.6,-0.18951724137931103,-0.784,0.0,1.798620689655172,0.5765517241379292,-1.194482758620689,0.8400911898077932,0.6421730365304043,-0.19791815327738893
19,0.0,0.6,-0.4226896551724138,-0.882,0.0,1.7648275862068965,0.002068965517241228,-1.059310344827586,0.6421730365304043,0.21306165099268637,-0.4291113855377179
20,0.0,0.6,-0.21093103448275952,-0.793,0.0,1.79551724137931,0.5237931034482735,-1.1820689655172405,0.21306165099268637,0.0,-0.21306165099268637
21,0.0,0.5664814814814816,-0.0,-0.665,0.0,1.7240740740740743,0.985185185185185,-1.2314814814814816,0.0,0.0,0.0
22,0.0,0.46851851851851867,-0.0,-0.55,0.0,1.4259259259259263,0.8148148148148152,-1.0185185185185188,0.0,0.0,0.0
23,0.0,0.34670370370370385,-0.0,-0.407,0.0,1.0551851851851854,0.602962962962963,-0.7537037037037038,0.0,0.0,0.0
